supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
77198704720801823	720575940628213756	95448	69056	3608	95448.0	69056.0	3608.0	2123442.0		not_a_neuron	glia							dopamine	0.30691370368003845	left				
77409329984325324	720575940633100103	98808	61656	4270	98808.0	61656.0	4270.0	2537042.0		not_a_neuron	glia							acetylcholine	0.4105321764945984	left				
81911623538973360	720575940621708424	164704	41744	1209	164704.0	41744.0	1209.0	7081034.0		not_a_neuron	glia							gaba	0.9870049357414246	right				
79026504960452162	720575940622559958	121896	42336	712	121896.0	42336.0	712.0	3664331.0		not_a_neuron	glia							dopamine	0.5020517706871033	left				
78182492884492370	720575940625006059	110496	47792	5024	110496.0	47792.0	5024.0	3051132.0		not_a_neuron	glia							glutamate	0.39176270365715027	left				
76917229543116254	720575940632745539	91760	68472	2306	91760.0	68472.0	2306.0	2117766.0		not_a_neuron	glia							gaba	0.8058086037635803	left				
80013729030886754	720575940624716889	136480	73312	1510	136480.0	73312.0	1510.0	5234270.0		not_a_neuron	glia							glutamate	0.45558100938796997	right				
78184829212522165	720575940629849026	109672	83000	4047	109672.0	83000.0	4047.0	3251193.0		not_a_neuron	glia							acetylcholine	0.5494315028190613	left				
78184073499311264	720575940623115358	110312	71536	5344	110312.0	71536.0	5344.0	3149775.0		not_a_neuron	glia							acetylcholine	0.6677290797233582	left				
79733079157175028	720575940628726088	132520	85464	4723	132520.0	85464.0	4723.0	5343091.0		not_a_neuron	glia							acetylcholine	0.3356013000011444	center				
77479698393057925	720575940627248719	100160	61440	1790	100160.0	61440.0	1790.0	2529370.0		not_a_neuron	glia							acetylcholine	0.3829491138458252	left				
79238298522423554	720575940611761322	125392	52752	1964	125392.0	52752.0	1964.0	4522653.0		not_a_neuron	glia							gaba	0.4942316710948944	center				
79451122674759282	720575940630869063	128272	77968	1516	128272.0	77968.0	1516.0	4668488.0		not_a_neuron	glia							serotonin	0.4483523666858673	center				
81140591345281914	720575940612348881	152968	87144	3604	152968.0	87144.0	3604.0	6513395.0		not_a_neuron	glia							acetylcholine	0.3638543486595154	right				
79170403880374981	720575940620846064	124688	89696	3231	124688.0	89696.0	3231.0	4706282.0		not_a_neuron	glia							acetylcholine	0.4907662868499756	center				
